Data source,Country/Region,From Customer Name,To Customer Name
APAC Superstore,Afghanistan,Allen Armold,Nazia Hassan
APAC Superstore,Afghanistan,Angele Hood,Marzieh Faizullah
APAC Superstore,Afghanistan,Anthony Jacobs,Habibullah Nazir
APAC Superstore,Afghanistan,Barry Gonzalez,Hassan Akbar
APAC Superstore,Afghanistan,Brian Dahlen,Nazifa Nimatullah
APAC Superstore,Afghanistan,Cari Sayre,Raazyaah Qurban
APAC Superstore,Afghanistan,Cathy Armstrong,Saeed Jalaluddin
APAC Superstore,Afghanistan,David Wiener,Shima Habib-Ur-Rehman
APAC Superstore,Afghanistan,Dionis Lloyd,Hayatullah Khwaja
APAC Superstore,Afghanistan,Emily Ducich,Ruhollah David
APAC Superstore,Afghanistan,Eric Hoffmann,Shazia Jamaah
APAC Superstore,Afghanistan,Gary Mitchum,Karima Malik
APAC Superstore,Afghanistan,Jack Garza,Ismail Juma
APAC Superstore,Afghanistan,Jim Mitchum,Lali Shafi
APAC Superstore,Afghanistan,Kristen Hastings,Humaira Wazeer
APAC Superstore,Afghanistan,Laurel Workman,Nasrullah Daulat
APAC Superstore,Afghanistan,Lori Olson,Safia Nawab
APAC Superstore,Afghanistan,Ricardo Sperren,Mahbooba Shafi
APAC Superstore,Afghanistan,Saphhira Shifley,Hussein Mira
APAC Superstore,Afghanistan,Stephanie Ulpright,Wahidullah Rahmatullah
APAC Superstore,Afghanistan,Thea Hudgings,Abdul Bismillah
APAC Superstore,Afghanistan,Thomas Seio,Saeed Ishaq
APAC Superstore,Afghanistan,Toby Swindell,Ibrahim Musa
APAC Superstore,Afghanistan,Victoria Brennan,Amina Muhammad
APAC Superstore,Afghanistan,Victoria Wilson,Ibrahim Janat
APAC Superstore,Australia,Aaron Bergman,Luca Burgess
APAC Superstore,Australia,Aaron Smayling,Angus Hunter
APAC Superstore,Australia,Adam Bellavance,Charlie McCarthy
APAC Superstore,Australia,Adam Hart,Sonny Li
APAC Superstore,Australia,Adam Shillingsburg,Jasper Walsh
APAC Superstore,Australia,Adrian Barton,Claire Duncan
APAC Superstore,Australia,Adrian Hane,Sophia Rose
APAC Superstore,Australia,Aimee Bixby,Connor Webster
APAC Superstore,Australia,Alan Barnes,Jayden Cox
APAC Superstore,Australia,Alan Dominguez,Caleb Webster
APAC Superstore,Australia,Alan Haines,Ruby Thomson
APAC Superstore,Australia,Alan Schoenberger,Harrison Cook
APAC Superstore,Australia,Alan Shonely,Levi Douglas
APAC Superstore,Australia,Alejandro Ballentine,Zara Cooper
APAC Superstore,Australia,Alejandro Savely,Isaiah Elliott
APAC Superstore,Australia,Aleksandra Gannaway,Luke Hayes
APAC Superstore,Australia,Alex Avila,Ariana Lee
APAC Superstore,Australia,Alex Grayson,Logan Williams
APAC Superstore,Australia,Alex Russell,Isaac O'Connor
APAC Superstore,Australia,Alice McCarthy,Isaac Murphy
APAC Superstore,Australia,Allen Armold,Eden Webb
